benchmark,model,lang_pair,bilingual_type,checkpoint,eval_language,accuracy,n_correct,n_total
xcomps,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-32,Ukrainian,0.441746,6347,14368
xcomps,BeetleLM/beetlelm_nld-fra_balanced,nld-fra,balanced,step-6113,Ukrainian,0.484201,6957,14368
xcomps,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-256,Ukrainian,0.486428,6989,14368
xcomps,BeetleLM/beetlelm_fas-nld_part_time,fas-nld,part_time,step-7000,Ukrainian,0.495754,7123,14368
xcomps,BeetleLM/beetlelm_fas-nld_simultaneous,fas-nld,simultaneous,step-7000,Ukrainian,0.498399,7161,14368
xcomps,BeetleLM/beetlelm_nld_mono,nld,mono,step-8000,Ukrainian,0.487681,7007,14368
xcomps,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,eng_L1-deu_L2,simultaneous,step-5000,Ukrainian,0.466801,6707,14368
xcomps,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-512,Ukrainian,0.486567,6991,14368
xcomps,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,nld_L1-eng_L2,balanced,step-8000,Ukrainian,0.464087,6668,14368
xcomps,BeetleLM/beetlelm_nld-fra_balanced,nld-fra,balanced,step-6721,Ukrainian,0.494293,7102,14368
xcomps,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-64,Ukrainian,0.446548,6416,14368
xcomps,BeetleLM/beetlelm_fas-nld_part_time,fas-nld,part_time,step-8000,Ukrainian,0.496729,7137,14368
xcomps,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,eng_L1-deu_L2,simultaneous,step-6000,German,0.501392,7204,14368
xcomps,BeetleLM/beetlelm_nld_mono,nld,mono,step-9000,Ukrainian,0.481139,6913,14368
xcomps,BeetleLM/beetlelm_fas-nld_simultaneous,fas-nld,simultaneous,step-8000,Ukrainian,0.499026,7170,14368
xcomps,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-611,Ukrainian,0.48608,6984,14368
xcomps,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,nld_L1-eng_L2,balanced,step-9000,Ukrainian,0.467845,6722,14368
xcomps,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,eng_L1-deu_L2,simultaneous,step-6000,Ukrainian,0.47216,6784,14368
xcomps,BeetleLM/beetlelm_nld-fra_balanced,nld-fra,balanced,step-7000,Ukrainian,0.469098,6740,14368
xcomps,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-128,Ukrainian,0.433881,6234,14368
xcomps,BeetleLM/beetlelm_nld_mono,nld,mono,step-10000,Ukrainian,0.464017,6667,14368
xcomps,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-1000,Ukrainian,0.484619,6963,14368
